Food_name,Calories,Protein,Carbohydrates,Fats,Meal_type,is_vegan,is_vegetarian
Oatmeal with berries and nuts,320.0,15.0,48.0,12.0,Breakfast,True,True
Tofu scramble with veggies,189.0,36.0,15.0,3.5,Breakfast,True,True
Tofu and veggie breakfast burrito,226.0,20.0,70.0,4.0,Breakfast,True,True
Greek yogurt with granola and fruit,283.0,14.0,44.0,20.0,Breakfast,True,True
Scrambled eggs with whole wheat toast and avocado,133.0,12.0,22.0,1.0,Breakfast,False,True
Protein pancakes with fruit and nuts,296.0,27.0,29.0,24.0,Breakfast,True,True
Tofu and chickpea scramble,289.0,20.0,42.0,25.0,Breakfast,True,True
Overnight oats with fruit and chia seeds,561.0,11.0,53.0,7.0,Breakfast,True,True
Tofu scramble with vegetables,219.0,21.0,25.0,3.0,Breakfast,True,True
Wholegrain toast with avocado,285.0,8.5,47.0,24.0,Breakfast,False,False
Greek yogurt with granola,308.0,19.0,40.0,3.0,Breakfast,False,True
Tofu and vegetable stir-fry,374.0,7.9,9.0,3.4,Breakfast,True,True
Oatmeal with protein powder and fruit,250.0,34.0,49.0,25.0,Breakfast,True,True
Eggs with wholegrain toast,304.0,14.0,39.0,50.0,Breakfast,False,True
Greek yogurt with berries and granola,465.0,24.1,16.8,39.0,Breakfast,False,True
Eggs with whole wheat toast and avocado,250.0,27.0,16.0,15.6,Breakfast,False,True
Tofu scramble with vegetables and avocado,240.0,18.0,28.0,4.0,Breakfast,True,True
Greek yogurt with fruit and granola,273.0,26.9,40.0,1.6,Breakfast,True,True
Tofu scramble with spinach and avocado,300.0,18.0,45.0,13.0,Breakfast,True,True
Scrambled eggs with whole wheat toast and fruit,169.0,27.0,17.0,6.0,Breakfast,True,True
Oatmeal with berries and plant-based milk,380.0,19.0,42.0,11.0,Breakfast,True,True
Oatmeal with fruit and nuts,199.0,39.0,19.0,19.0,Breakfast,True,True
Tofu scramble with whole-wheat toast,1740.0,14.0,24.0,18.0,Breakfast,True,True
Tofu and vegetable breakfast burrito,260.0,15.0,34.0,3.0,Breakfast,True,True
Scrambled eggs with avocado and whole-wheat toast,423.0,29.0,24.0,26.0,Breakfast,False,True
Overnight oats with chia seeds and fruit,260.0,7.0,25.0,10.0,Breakfast,True,True
Pancakes with fruit and syrup,220.0,13.9,20.0,5.0,Breakfast,True,True
Scrambled eggs with whole-wheat toast,465.0,35.0,55.0,19.0,Breakfast,False,True
Tofu scramble with spinach and avocado toast,481.0,17.0,24.0,19.0,Breakfast,True,True
Eggs with whole-wheat toast,263.0,13.0,46.0,20.0,Breakfast,False,True
Quinoa porridge with fruit and nuts,442.0,20.1,62.0,19.0,Breakfast,True,True
Tofu scramble with vegetables and whole-wheat toast,276.0,20.8,26.0,14.0,Breakfast,True,True
Scrambled eggs with bacon and whole-wheat toast,560.0,31.0,40.0,14.0,Breakfast,False,True
Oatmeal with protein powder and berries,222.0,25.0,48.0,29.0,Breakfast,True,True
Eggs with whole-wheat toast and avocado,278.0,25.6,10.8,11.2,Breakfast,False,True
Scrambled eggs with vegetables and whole-wheat toast,257.0,13.4,56.0,15.4,Breakfast,True,True
Scrambled eggs with whole-wheat toast and avocado,375.0,11.5,43.0,27.0,Breakfast,False,True
Tofu scramble with veggies and whole-wheat toast,300.0,27.0,34.0,32.0,Breakfast,True,True
Overnight oats with fruit and nuts,425.0,16.0,87.0,10.0,Breakfast,True,True
Greek yogurt with berries and nuts,389.0,13.0,44.0,21.0,Breakfast,True,True
Tofu scramble with whole wheat toast and avocado,300.0,6.3,45.0,16.5,Breakfast,True,True
Yogurt with fruit and granola,380.0,18.0,33.0,15.0,Breakfast,True,True
Greek yogurt with berries and almonds,315.0,35.0,20.0,15.0,Breakfast,False,True
Eggs with whole-wheat toast and bacon,355.0,19.0,42.0,9.0,Breakfast,False,True
Scrambled tofu with whole-wheat toast and avocado,200.0,11.0,40.0,14.0,Breakfast,True,True
Tofu and vegetable stir-fry with brown rice,1245.0,19.0,59.0,17.0,Breakfast,True,True
Scrambled eggs with whole wheat toast,370.0,15.0,34.0,9.0,Breakfast,False,True
Tofu and vegetable scramble with whole wheat toast,190.0,10.0,47.0,2.0,Breakfast,True,True
Greek Yogurt with berries and granola,466.0,41.0,59.0,15.0,Breakfast,False,True
